timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1601549360751,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7171,690,1,1,null,0,0,0
1601549360751,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
1601549360759,4,гостевая,200,,sendComment 1-1,text,true,,3059,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549360764,8,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3391,848,1,1,null,0,1,0
1601549360764,4,комментарий,200,,sendComment 1-1,text,true,,274,551,1,1,http://localhost:8080/service/guestbook?user=Райффайзенбанк&text=Спасибо!,4,0,0
1601549360768,4,комментарий,200,,sendComment 1-1,text,true,,3117,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549360773,0,Debug Sampler,200,OK,sendComment 1-1,text,true,,469,0,1,1,null,0,0,0
1601549360776,10,вход,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,22667,334,1,1,null,0,501,0
1601549361277,10,вход,200,,sendComment 1-1,text,true,,22667,334,1,1,http://localhost:8080/,10,0,0
1601549361288,10,клиенты,200,"Number of samples in transaction : 1, number of failing samples : 0",sendComment 1-1,,true,,6135,379,1,1,null,0,1,0
1601549361288,10,клиенты,200,,sendComment 1-1,text,true,,6135,379,1,1,http://localhost:8080/clients.html,10,0,0
1601549361299,12,гостевая,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,7229,690,1,1,null,0,2,0
1601549361300,8,гостевая,200,,sendComment 1-1,text,true,,4112,393,1,1,http://localhost:8080/guestbook.html,8,0,0
1601549361309,4,гостевая,200,,sendComment 1-1,text,true,,3117,297,1,1,http://localhost:8080/service/guestbook,4,0,0
1601549361313,7,комментарий,200,"Number of samples in transaction : 2, number of failing samples : 0",sendComment 1-1,,true,,3494,983,1,1,null,0,2,0
